dc, registration_date,n
2024,2024-07-31,0
2024,2024-08-02,2
2024,2024-08-06,15
2024,2024-08-07,31
2024,2024-08-08,35
2024,2024-08-09,37
2024,2024-08-13,46
2024,2024-08-14,50
2024,2024-08-16,54
2024,2024-08-18,60
2024,2024-08-19,62
2024,2024-08-20,63
2024,2024-08-21,64
2024,2024-08-22,65
2024,2024-08-23,72
2024,2024-08-26,75
2024,2024-08-27,77
2024,2024-08-28,79
2024,2024-08-29,80
2024,2024-08-30,83
2024,2024-08-31,84
2024,2024-09-02,85
2024,2024-09-04,87
2024,2024-09-05,88
2024,2024-09-06,89
2024,2024-09-07,90
2024,2024-09-08,91
2024,2024-09-09,92
2024,2024-09-10,93
2024,2024-09-11,97
2024,2024-09-12,98
2024,2024-09-15,99
2024,2024-09-19,103
2024,2024-09-21,104
2024,2024-09-22,105
2024,2024-09-23,109
2024,2024-09-24,110
2024,2024-09-25,111
2024,2024-09-27,112
2024,2024-10-01,118
2024,2024-10-04,121
2024,2024-10-06,122
2024,2024-10-09,126
2024,2024-10-11,127
2024,2024-10-13,129
2024,2024-10-14,130
2024,2024-10-17,132
