dc,registration_date,n
2025,2025-09-30,0
2025,2025-10-01,5
2025,2025-10-02,15
2025,2025-10-03,22
2025,2025-10-04,24
2025,2025-10-05,25
2025,2025-10-06,42
2025,2025-10-07,51
2025,2025-10-08,64
2025,2025-10-09,65
2025,2025-10-10,71
2025,2025-10-11,74
2025,2025-10-12,77
2025,2025-10-13,83
2025,2025-10-14,88
2025,2025-10-15,91
2025,2025-10-16,98
2025,2025-10-17,101
2025,2025-10-18,102
2025,2025-10-19,103
2025,2025-10-20,107
2025,2025-10-21,111
2025,2025-10-22,116
2025,2025-10-23,122
2025,2025-10-24,127
2025,2025-10-25,128
2025,2025-10-26,133
2025,2025-10-27,137
2025,2025-10-28,141
2025,2025-10-29,143
2025,2025-10-30,148
2025,2025-10-31,152
2025,2025-11-01,154
2025,2025-11-02,154
2025,2025-11-03,155
2025,2025-11-04,156
2025,2025-11-05,156
2025,2025-11-06,158
2025,2025-11-07,161
2025,2025-11-08,163
2025,2025-11-09,164
2025,2025-11-10,165
2025,2025-11-11,165
2025,2025-11-12,167
2025,2025-11-13,168
2025,2025-11-14,170
2025,2025-11-15,171
2025,2025-11-16,171
2025,2025-11-17,172
2025,2025-11-18,172
2025,2025-11-19,173
2025,2025-11-20,173
2025,2025-11-21,174
2025,2025-11-22,175
2025,2025-11-23,175
2025,2025-11-24,177
2025,2025-11-25,178
2025,2025-11-26,179
2025,2025-11-27,179
2025,2025-11-28,179
2025,2025-11-29,179
2025,2025-11-30,179
2025,2025-12-01,179
