dc,registration_date,n,future
2026,2026-08-31,0,FALSE
2026,2026-09-01,96,FALSE
2026,2026-09-02,145,FALSE
2026,2026-09-03,173,FALSE
2026,2026-09-04,227,FALSE
2026,2026-09-05,259,FALSE
2026,2026-09-06,282,FALSE
2026,2026-09-07,301,FALSE
2026,2026-09-08,326,FALSE
2026,2026-09-09,342,FALSE
2026,2026-09-10,355,FALSE
2026,2026-09-11,365,FALSE
2026,2026-09-12,377,FALSE
2026,2026-09-13,383,FALSE
2026,2026-09-14,400,FALSE
2026,2026-09-15,412,FALSE
2026,2026-09-16,420,FALSE
2026,2026-09-17,429,FALSE
2026,2026-09-18,429,TRUE
2026,2026-09-19,429,TRUE
2026,2026-09-20,429,TRUE
2026,2026-09-21,429,TRUE
2026,2026-09-22,429,TRUE
2026,2026-09-23,429,TRUE
2026,2026-09-24,429,TRUE
2026,2026-09-25,429,TRUE
2026,2026-09-26,429,TRUE
2026,2026-09-27,429,TRUE
2026,2026-09-28,429,TRUE
2026,2026-09-29,429,TRUE
2026,2026-09-30,429,TRUE
2026,2026-10-01,429,TRUE
2026,2026-10-02,429,TRUE
2026,2026-10-03,429,TRUE
2026,2026-10-04,429,TRUE
2026,2026-10-05,429,TRUE
2026,2026-10-06,429,TRUE
2026,2026-10-07,429,TRUE
2026,2026-10-08,429,TRUE
2026,2026-10-09,429,TRUE
2026,2026-10-10,429,TRUE
2026,2026-10-11,429,TRUE
